park_code,park_name,city,state,lat,lng,min_temp,max_temp,humidity,cloudiness,wind_speed,date
noco,North Country National Scenic Trail,Lowell,MI,46.334400743,-90.8165630499,70.45,76.37,48,98,13.15,1663264463
obed,Obed Wild & Scenic River,Wartburg,TN,36.1056026037,-84.5979170501,75.09,78.84,37,0,5.08,1663264463
ocmu,Ocmulgee Mounds National Historical Park,Macon,GA,32.83816576,-83.60224853,79.09,83.91,57,0,7.7,1663264463
olsp,Old Spanish National Historic Trail,Santa Fe,NM,37.0791782514,-112.114693431,65.43,69.31,37,30,6.06,1663264464
olym,Olympic National Park,Port Angeles,WA,47.80392754,-123.6663848,43.41,48.43,67,98,3.38,1663264464
orca,Oregon Caves National Monument & Preserve,Cave Junction,OR,42.10319143,-123.4018586,55.58,60.71,51,55,3.18,1663264464
oreg,Oregon National Historic Trail,Santa Fe,NM,41.9876977831,-109.634200841,64.51,64.51,39,72,4.99,1663264465
orpi,Organ Pipe Cactus National Monument,Ajo,AZ,32.03585543,-112.8573314,88.11,88.11,32,0,8.5,1663264465
ovvi,Overmountain Victory National Historic Trail,Gaffney,SC,35.14044,-81.377,76.51,81.48,48,2,3,1663264465
oxhi,Oxon Cove Park & Oxon Hill Farm,Oxon Hill,MD,38.80578214,-77.01131457,74.88,81.88,54,20,10.36,1663264465
ozar,Ozark National Scenic Riverways,Van Buren,MO,37.13968894,-91.25709817,78.49,80.96,38,1,6.35,1663264466
paal,Palo Alto Battlefield National Historical Park,Brownsville,TX,26.02387351,-97.46296072,84.2,92.14,67,75,10.36,1663264466
peri,Pea Ridge National Military Park,Garfield,AR,36.45438033,-94.03468357,77.61,82.36,49,0,5.01,1663264467
peco,Pecos National Historical Park,Pecos,NM,35.54192238,-105.6814684,65.16,72.25,41,1,1.99,1663264467
pete,Petersburg National Battlefield,Petersburg,VA,37.19109957,-77.47594865,78.24,83.28,54,40,4.61,1663264467
pefo,Petrified Forest National Park,Petrified Forest,AZ,34.98387664,-109.7877678,75.83,75.83,35,44,5.01,1663264468
petr,Petroglyph National Monument,Albuquerque,NM,35.13915998,-106.7491456,68.94,76.12,48,0,4.61,1663264468
piro,Pictured Rocks National Lakeshore,Munising,MI,46.56435642,-86.31628733,63.99,68,59,100,13.2,1663264468
pinn,Pinnacles National Park,Paicines,CA,36.49029208,-121.1813607,62.1,68.45,43,1,5.82,1663264468
pisp,Pipe Spring National Monument,Fredonia,AZ,36.86282666,-112.7398567,70.9,72.14,37,34,8.08,1663264469
pore,Point Reyes National Seashore,Point Reyes Station,CA,38.05511241,-122.8797804,59.04,70.3,87,38,5.99,1663264469
