parkCode,Park Name,City,State,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
npsa,National Park of American Samoa,Pago Pago,AS,-14.22865935,-169.8503777,299.67,299.67,78,6,9.3,1663121532,AS
npnh,National Parks of New York Harbor,New York,NY,40.6632,-74.0451,291.67,297.62,51,20,6.26,1663121532,US
nabr,Natural Bridges National Monument,Lake Powell,UT,37.6045329,-110.0022436,287.3,287.3,46,97,3.74,1663121533,US
nava,Navajo National Monument,Shonto,AZ,36.71755643,-110.5504015,289.87,289.87,55,83,6.5,1663121533,US
neen,New England National Scenic Trail,Springfield,MA,42.2915819137,-72.5242767334,289.85,293.73,86,40,3.09,1663121533,US
neri,New River Gorge National Park and Preserve,Glen Jean,WV,37.86878554,-80.99956002,282.88,286.68,90,0,0,1663121534,US
nepe,Nez Perce National Historical Park,Lapwai,ID,46.07019093,-115.8761258,292.07,295.48,56,88,2.08,1663121534,US
niob,Niobrara National Scenic River,Valentine,NE,42.79413083,-99.91870646,291.64,293.07,63,5,4.21,1663121534,US
noat,Noatak National Preserve,Kotzebue,AK,68.01027053,-159.831694,280.41,280.41,85,100,1.44,1663121534,US
noca,North Cascades National Park,Sedro-Woolley,WA,48.71171756,-121.2069423,285.51,285.51,94,60,1.53,1663121535,US
noco,North Country National Scenic Trail,Lowell,MI,46.334400743,-90.8165630499,286.91,289.51,81,98,1.69,1663121535,US
obed,Obed Wild & Scenic River,Wartburg,TN,36.1056026037,-84.5979170501,288.09,292.33,82,0,1.36,1663121535,US
ocmu,Ocmulgee Mounds National Historical Park,Macon,GA,32.83816576,-83.60224853,290.26,292.35,82,0,1.54,1663121536,US
olsp,Old Spanish National Historic Trail,Santa Fe,NM,37.0791782514,-112.114693431,288.33,290.61,58,35,2.48,1663121536,US
olym,Olympic National Park,Port Angeles,WA,47.80392754,-123.6663848,277.38,281.17,89,97,0.93,1663121536,US
orca,Oregon Caves National Monument & Preserve,Cave Junction,OR,42.10319143,-123.4018586,288.71,291.43,54,46,1.83,1663121536,US
oreg,Oregon National Historic Trail,Santa Fe,NM,41.9876977831,-109.634200841,288.31,288.31,59,95,1.49,1663121537,US
orpi,Organ Pipe Cactus National Monument,Ajo,AZ,32.03585543,-112.8573314,303.21,303.21,42,0,5.62,1663121537,MX
ovvi,Overmountain Victory National Historic Trail,Gaffney,SC,35.14044,-81.377,288.79,293.25,77,12,1.61,1663121537,US
oxhi,Oxon Cove Park & Oxon Hill Farm,Oxon Hill,MD,38.80578214,-77.01131457,290.31,295.99,59,75,7.2,1663121537,US
ozar,Ozark National Scenic Riverways,Van Buren,MO,37.13968894,-91.25709817,291.11,293.76,61,1,0.87,1663121538,US
paal,Palo Alto Battlefield National Historical Park,Brownsville,TX,26.02387351,-97.46296072,299.18,302.03,67,0,3.6,1663121538,US
peri,Pea Ridge National Military Park,Garfield,AR,36.45438033,-94.03468357,290.03,296.03,69,0,1.48,1663121538,US
peco,Pecos National Historical Park,Pecos,NM,35.54192238,-105.6814684,289.15,291.98,58,71,1.34,1663121539,US
pete,Petersburg National Battlefield,Petersburg,VA,37.19109957,-77.47594865,289.19,294.12,71,0,0,1663121539,US
pefo,Petrified Forest National Park,Petrified Forest,AZ,34.98387664,-109.7877678,297.54,297.54,31,60,6.97,1663121539,US
petr,Petroglyph National Monument,Albuquerque,NM,35.13915998,-106.7491456,288.19,291.45,74,75,11.32,1663121540,US
piro,Pictured Rocks National Lakeshore,Munising,MI,46.56435642,-86.31628733,287.1,288.92,83,2,7.36,1663121540,US
pinn,Pinnacles National Park,Paicines,CA,36.49029208,-121.1813607,288.83,292.81,63,0,4.19,1663121540,US
